,name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence
0,Prelude - Live,Kita Sama-Sama Suka Hujan (Live Konser 2015),Various Artists,1cBmUmmh1YAxRwgNEyFxAj,2017-09-29,9,340035,0.166,0.959,0.302,0.945,0.491,0.0358
1,cardigan,folklore,Taylor Swift,4R2kfaDFhslZEMJqAFNpdd,2020-07-24,84,239560,0.613,0.537,0.581,0.000345,0.25,0.551
2,Light,Atlas: I,Sleeping At Last,5uq3x8Pg8HAj8qNwPFOzfl,2014-07-08,56,262533,0.224,0.532,0.387,0.00548,0.0689,0.0395
3,Nematomorpha,Nematomorpha,Fourtwnty,7EBOBQjEF0zNw04OqIIqfu,2020-04-20,56,224670,0.72,0.675,0.5,0.0477,0.0983,0.788
4,Taruh,Selamat Ulang Tahun,Nadin Amizah,6Dh1zHQjEaOp29VW9pp3xG,2020-05-28,63,249892,0.349,0.979,0.244,0.000909,0.0924,0.547
5,"10,000 Hours (with Justin Bieber)","10,000 Hours (with Justin Bieber)",Dan + Shay,2wrJq5XKLnmhRXHIAf9xBa,2019-10-04,75,167693,0.654,0.153,0.63,0.0,0.111,0.43
6,Watermelon Sugar,Fine Line,Harry Styles,6UelLqGlWMcVH1E5c4H7lY,2019-12-13,87,174000,0.548,0.122,0.816,0.0,0.335,0.557
7,Speechless (Full),Aladdin (Original Motion Picture Soundtrack),Various Artists,0XPsOSYzDJZJArevQNm2AR,2019-05-22,69,208800,0.474,0.467,0.489,0.0,0.119,0.23
8,When I'm With U,When I'm With U,Tritonal,4jxer0xkjnjrOjKIg2Jfxz,2018-12-07,0,256551,0.594,0.221,0.804,0.0,0.12,0.326
9,Good Time,The Midsummer Station,Owl City,1kPpge9JDLpcj15qgrPbYX,2012-01-01,76,205933,0.56,0.0239,0.872,6.98e-06,0.371,0.682
10,Adaptasi,Adaptasi,Tulus,0Ax3HeFnPVuHBtzc0AQ7zw,2020-05-24,61,188972,0.527,0.874,0.27,4.64e-06,0.0987,0.459
11,Moon,MAP OF THE SOUL : 7,BTS,1xfXXujIlLZAx5wpu46Nyk,2020-02-21,1,208589,0.703,0.0104,0.646,0.0,0.191,0.64
12,Juwita,Juwita,Aya Anjani,6sKv1SIqMWkkWRffVFcYL8,2019-02-28,26,314555,0.522,0.0399,0.698,3.23e-06,0.233,0.369
13,Bom,Puberty BookⅠ Bom,BOL4,0jnUqXkSxqe8hLkPVfzIjz,2019-04-02,0,217044,0.595,0.539,0.631,0.0,0.0786,0.533
14,Side To Side,Dangerous Woman,Ariana Grande,1pKeFVVUOPjFsOABub0OaV,2016-05-20,1,226160,0.65,0.0528,0.736,0.0,0.235,0.613
15,Gimme Love,Gimme Love,Joji,2hfoyc7ve6xM4ZEiNIiU1B,2020-04-16,61,214557,0.482,0.696,0.631,0.0242,0.209,0.0743
16,Would Be Better,"Prison Playbook (Original Television Soundtrack), Pt. 5",HEIZE,4ti8zR7B4jvo8W2Zcd86nk,2017-12-14,0,222566,0.352,0.564,0.586,0.0,0.0974,0.319
17,Six,Atlas: Enneagram,Sleeping At Last,5os4iDInR4chqaCdXi895k,2019-07-11,46,254853,0.228,0.875,0.348,0.000139,0.0829,0.178
18,Perlahan,Perlahan,Guyon Waton,01TdkJ0lorIzBsdks8X1Tb,2020-02-03,59,300000,0.659,0.675,0.537,3.92e-05,0.3,0.398
19,In My Life - Remastered 2009,Rubber Soul (Remastered),The Beatles,3KfbEIOC7YIv90FIfNSZpo,1965-12-03,73,146333,0.688,0.449,0.435,0.0,0.113,0.435
20,Lay Me Down,In The Lonely Hour (Drowning Shadows Edition),Sam Smith,64GRDrL1efgXclrhVCeuA0,2015-11-06,70,219535,0.468,0.919,0.19,0.0,0.107,0.326
21,Say,Ready,Ruel,5VjTlCuX8C11QDunDwvyNh,2018-06-15,57,227433,0.617,0.771,0.315,0.0,0.0809,0.447
22,Waktu Yang Salah,Tempat Aku Pulang,Fiersa Besari,4qgIQcskrvj6nlypTvBm5k,2014-05-15,66,325946,0.666,0.788,0.276,0.0,0.099,0.299
23,Head In The Clouds,Head In The Clouds,88rising,3kYARoLSAvt86VFZ55BQcq,2018-07-20,60,178022,0.516,0.281,0.456,1.27e-05,0.0847,0.238
24,Clarity,Clarity,Zedd,60wwxj6Dd9NJlirf84wr2c,2012-01-01,74,271426,0.509,0.0398,0.781,0.0,0.0749,0.176
25,Iris,Dizzy up the Girl,The Goo Goo Dolls,6Qyc6fS4DsZjB2mRW9DsQs,1998-09-11,82,289533,0.315,0.00125,0.715,7.97e-06,0.0942,0.497
26,Wow.,Hollywood's Bleeding,Post Malone,7xQAfvXzm3AkraOtGPWIZg,2019-09-06,80,149546,0.829,0.136,0.539,1.78e-06,0.103,0.388
27,Hujan di Mimpi,Berjalan Lebih Jauh,Banda Neira,0VX8UdmK5BMdExvht2m1Yx,2013-04-13,50,296938,0.534,0.948,0.202,0.0457,0.126,0.147
28,What Makes You Beautiful,Up All Night,One Direction,4cluDES4hQEUhmXj6TXkSo,2012-05-25,83,199986,0.726,0.009,0.787,0.0,0.0596,0.888
29,Little Things,Take Me Home (Expanded Edition),One Direction,0TAmnCzOtqRfvA38DDLTjj,2012-11-12,73,219040,0.709,0.811,0.22,0.0,0.175,0.53
30,"A Whole New World (End Title) - From ""Aladdin""","A Whole New World (End Title) [From ""Aladdin""]",ZAYN,1iWHabUgUuuKLBa0TzTHfk,2019-05-09,64,242956,0.302,0.0575,0.414,0.0,0.0861,0.105
31,Rumah Ke Rumah,Menari Dengan Bayangan,Hindia,2wAiFWjRupWmnDkQcu91MF,2019-11-29,72,277457,0.72,0.456,0.786,0.616,0.186,0.488
32,Only You,Only You,Cheat Codes,7IZ7S595rr4Q3E1Zga1Jev,2018-06-22,45,189401,0.607,0.0829,0.74,0.0,0.105,0.219
33,The Other,I met you when I was 18. (the playlist),Lauv,0EAzlhtMYxRb6wbi6KnPjC,2018-05-31,11,189333,0.38,0.421,0.553,2.63e-06,0.0788,0.384
34,all the kids are depressed,glisten,Jeremy Zucker,75ls0gurX68lUmMjE7QcsE,2018-05-04,72,169973,0.773,0.836,0.437,2.42e-05,0.544,0.707
35,Down in Vieux Cannes - Remastered,Primavera,Vira Talisa,1vCbdOISgNYvcIrZERyPqx,2019-03-01,37,192431,0.55,0.511,0.723,0.637,0.345,0.603
36,Start Over,ITAEWON CLASS (Original Television Soundtrack),Various Artists,3e4tHEcyzEtngkCw8ZBSMS,2020-03-20,57,202440,0.591,0.172,0.818,0.0,0.126,0.574
37,That's okay,That's okay,D.O.,2Ghu1DdMwxS3VAyB7i38Wo,2019-07-01,62,221373,0.679,0.723,0.442,0.0,0.231,0.628
38,Karena Ku Sanggup,Agnes Is My Name,Agnes Monica,0YRkfp6SGt3Pd0cEtIOABg,2011,54,285960,0.469,0.886,0.235,0.00209,0.106,0.0699
39,The Ocean (feat. Shy Martin),The Ocean (feat. Shy Martin),Mike Perry,2CPqh63wRVscbceKcPxwvv,2016-04-15,69,183414,0.632,0.0225,0.575,1.81e-06,0.104,0.188
40,Babylon,Youngblood (Deluxe),5 Seconds of Summer,6PUYqQtGWVAovZrLC9BIqt,2018-06-15,56,213185,0.521,0.00155,0.884,1.69e-06,0.209,0.494
41,Too Young to Burn,Tomorrow Is Alright,Sonny & The Sunsets,2wygBuUWMXrQujBBlwhDCL,2010,50,199693,0.79,0.731,0.44,0.000429,0.24,0.787
42,Night Changes,FOUR (Deluxe),One Direction,5O2P9iiztwhomNh8xkR9lJ,2014-11-17,86,226600,0.672,0.859,0.52,0.0,0.115,0.37
43,Without Me,Without Me,Halsey,5p7ujcrUXASCNwRaWNHR1C,2018-10-04,75,201660,0.752,0.297,0.488,9.11e-06,0.0936,0.533
44,Putih,Sinestesia,Efek Rumah Kaca,7HW7C1NSXomYmZRVYv7m0a,2015-12-18,38,586386,0.585,0.0561,0.479,0.191,0.11,0.321
45,Psycho (feat. Ty Dolla $ign),beerbongs & bentleys,Post Malone,3swc6WTsr7rl9DqQKQA55C,2018-04-27,76,221440,0.75,0.546,0.56,0.0,0.111,0.459
46,Kenangan Manis,Walk The Talk,Pamungkas,1tS1dRfxIV9FzqdYTbJgMn,2018-07-15,70,207937,0.604,0.0511,0.678,0.00169,0.0945,0.721
47,Here Comes The Sun - Remastered 2009,Abbey Road (Remastered),The Beatles,6dGnYIeXmHdcikdzNNDMm2,1969-09-26,81,185733,0.557,0.0339,0.54,0.00248,0.179,0.394
48,Brand New Day,Cherrybelle Compilation Album,Cherrybelle,2yH97Ea52aOWehSkGruPOM,2016-08-05,42,257463,0.582,0.00421,0.661,4.88e-06,0.116,0.59
49,Sayonara,Dari Balik Jendela,Monita Tahalea,5qey0yQ9ESpxcVwag5y88X,2020-03-13,39,158760,0.694,0.908,0.233,3.83e-06,0.39,0.643
